Order in Yelp,Restaurant Name,Rating,Number of Reviews,Price Level,Main Cuisine,Free Wi-Fi,Vegetarian,Street Parking,Takes Reservations,Dogs Allowed,Good for Groups
1,Bottega,4.3,"(1,050 reviews)",$$,Italian,1,1,1,0,1,0
2,The Snug,4.0,(439 reviews),$$,Cocktail Bars,1,1,1,1,1,1
3,Elena's Mexican Restaurant,4.1,(118 reviews),N/A,American,0,1,1,0,0,0
4,Kothai Republic,4.6,(269 reviews),N/A,Korean,1,1,1,1,0,1
5,Blind Butcher,4.0,(342 reviews),$$,New American,0,1,1,1,0,1
6,Pearl,4.4,(493 reviews),$$$,Italian,1,1,1,1,0,1
7,Memento SF,4.7,(47 reviews),N/A,New American,0,0,0,0,0,0
8,Fog Harbor Fish House,4.3,"(10,231 reviews)",$$,Seafood,1,1,0,1,0,1
9,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
10,Nopa,4.2,"(5,513 reviews)",$$$,New American,0,1,1,1,1,1
11,Dalida,4.5,(214 reviews),$$$,Mediterranean,1,1,1,1,1,1
12,Otra,4.4,(174 reviews),N/A,Mexican,0,1,1,0,0,0
13,La Sarrasine,4.7,(83 reviews),Unclaimed,Unclaimed,0,0,1,0,0,1
14,Santeria,4.4,(322 reviews),$$,Mexican,0,1,1,1,1,1
15,Movida,4.3,(123 reviews),N/A,Persian/Iranian,1,1,1,1,1,1
16,Sotto Mare,4.3,"(5,292 reviews)",$$,Seafood,0,1,1,1,0,1
17,Fermentation Lab,4.5,(62 reviews),N/A,Cocktail Bars,1,0,0,0,0,1
18,ILCHA,4.3,(286 reviews),N/A,Korean,0,0,1,1,0,1
19,Fable,4.1,(869 reviews),$$,New American,1,1,1,1,1,1
20,little shucker,4.4,(153 reviews),N/A,Seafood,0,0,1,1,0,1
21,Katsuo + Kombu,4.3,(152 reviews),$$,Japanese,0,1,1,0,0,1
22,The Laundromat,4.6,(274 reviews),N/A,Pizza,0,0,1,0,0,0
23,Pinsa Rossa,4.7,(100 reviews),N/A,Italian,0,0,0,0,0,0
24,Bistro Ember,4.7,(77 reviews),N/A,Mediterranean,0,0,0,0,0,0
25,Starbelly,3.8,"(2,335 reviews)",$$,New American,1,1,1,1,0,1
26,Caliente Bistro Kitchen,4.8,(252 reviews),$$,Mexican,1,1,1,1,0,1
27,Beit Rima,4.3,(338 reviews),$$,Arabic,0,1,1,0,1,1
28,Bansang,4.2,(424 reviews),N/A,Korean,0,1,1,1,0,1
29,Beretta Divisadero,4.2,(495 reviews),$$,Italian,1,1,1,1,1,1
30,The Rustic,4.6,(72 reviews),N/A,Italian,1,0,1,0,1,0
31,Starbelly,3.8,"(2,335 reviews)",$$,New American,1,1,1,1,0,1
32,Caliente Bistro Kitchen,4.8,(252 reviews),$$,Mexican,1,1,1,1,0,1
33,Beit Rima,4.3,(338 reviews),$$,Arabic,0,1,1,0,1,1
34,The Tailor's Son,4.2,(518 reviews),N/A,Italian,1,0,1,0,1,1
35,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0
36,Bansang,4.2,(424 reviews),N/A,Korean,0,1,1,1,0,1
37,Finthaisf,4.9,(31 reviews),N/A,Seafood,0,0,1,1,0,0
38,Bocconcino,4.8,(72 reviews),N/A,Italian,1,0,1,1,0,0
39,Nepa Indian Cuisine,4.9,(29 reviews),N/A,Indian,0,1,0,0,0,0
40,Dumpling Story,4.6,(196 reviews),N/A,Asian Fusion,0,1,0,0,0,1
41,Beretta Divisadero,4.2,(495 reviews),$$,Italian,1,1,1,1,1,1
42,San Ho Won,4.6,(565 reviews),$$$$,Korean,0,0,1,1,0,1
